var,feature_importance,rank
cat80_D,0.22932384068949288,1
cont14,0.048741196862071706,2
cont7,0.03881993130210521,3
cat12_A,0.0372636033465506,4
cont2,0.030904297711927972,5
cat79_D,0.025321052312078863,6
cat81_D,0.023019230140290163,7
cont8,0.015421347592365764,8
cont3,0.015336427232218924,9
cont5,0.015145949644444134,10
cont6,0.014960042895698957,11
cont1,0.014182620747012258,12
cont4,0.01407086762592616,13
cat1_B,0.013580367063451919,14
cont13,0.013301868482099473,15
cont12,0.012832153502029273,16
cont11,0.01129221013497721,17
cont10,0.010966479041006807,18
cat12_B,0.010856415489706193,19
cont9,0.010352013099789984,20
cat44_A,0.010121883074145074,21
cat100_I,0.009319125752258352,22
cat53_A,0.008380451093357534,23
cat57_A,0.008192880485301441,24
cat26_A,0.0072452598609575505,25
cat72_B,0.006504650329803666,26
cat100_F,0.006333011499198624,27
cat2_A,0.006134086021730276,28
cat5_B,0.004983419361453646,29
cat111_A,0.004713151752548996,30
cat50_A,0.00378446463534679,31
cat111_C,0.0037506370857711946,32
cat57_B,0.003251470154567027,33
cat83_B,0.0030393528402532723,34
cat103_B,0.0029106536039061217,35
cat114_C,0.0027781954065239757,36
cat100_J,0.0026924129508533686,37
cat11_B,0.002682106219833563,38
cat82_B,0.0026350177430172453,39
cat100_G,0.00257901626414707,40
cat31_A,0.00253168229572999,41
cat72_A,0.0025275045707840163,42
cat91_A,0.0023990618382368437,43
cat6_B,0.002376380123142034,44
cat91_B,0.00236633092681831,45
cat39_A,0.0023485328312103496,46
cat112_J,0.002339863087375884,47
cat112_AH,0.0022822624883232774,48
cat82_D,0.0022532627045313922,49
cat4_A,0.00222323988021192,50
cat10_B,0.002147944951357276,51
cat2_B,0.0021071227281506608,52
cat93_D,0.0020935242625818307,53
cat36_A,0.0020815986338380394,54
cat83_A,0.00202012026781364,55
cat53_B,0.0020189788334580823,56
cat100_A,0.0019613453042515417,57
cat100_K,0.0019515490636743582,58
cat81_B,0.00194605538175639,59
cat82_A,0.0019244265206055738,60
cat112_AV,0.0018863476516854634,61
cat114_E,0.0018450028240983073,62
cat83_D,0.0017832044554479452,63
cat84_C,0.0017677984497506997,64
cat112_K,0.001757501566441672,65
cat84_A,0.001740753502638523,66
cat93_C,0.001692146461944721,67
cat100_H,0.0016886469799509325,68
cat105_E,0.001672456287426724,69
cat100_L,0.0016408133659277274,70
cat110_EG,0.0016392526706228807,71
cat112_AS,0.0016324029854985912,72
cat49_B,0.0016308181154449874,73
cat112_U,0.001604531516777901,74
cat109_BI,0.001593820072380503,75
cat23_B,0.0015713803971608468,76
cat73_B,0.0015480435643341645,77
cat75_A,0.0015351791791820696,78
cat79_B,0.0015283766585303955,79
cat27_A,0.0015266981370205114,80
