var,feature_importance,rank
cat80_D,0.2293238406895839,1
cont14,0.04842256106219577,2
cont7,0.039130682266217603,3
cat12_A,0.03603332624009132,4
cont2,0.030524488324819,5
cat79_D,0.025280433641024957,6
cat81_D,0.02303929152624432,7
cont8,0.015851109615612643,8
cont3,0.015120335043965344,9
cont6,0.014923958919685742,10
cont5,0.014809922514277802,11
cont1,0.014235388815740177,12
cont4,0.014045655604424683,13
cont13,0.013682688726633,14
cat1_B,0.013052022313308358,15
cont12,0.01258435037129595,16
cat12_B,0.01208501461334747,17
cont11,0.0113923886941181,18
cont10,0.01109705405215433,19
cat44_A,0.01092243834395049,20
cont9,0.01036230075144792,21
cat100_I,0.009344167339432585,22
cat57_A,0.007972969193129713,23
cat101_A,0.007511415814781334,24
cat26_A,0.007440003375617649,25
cat53_A,0.007027725612943151,26
cat100_F,0.006435414000479092,27
cat72_B,0.0060703574372813944,28
cat4_A,0.0045887033211793,29
cat111_C,0.0038771407268860802,30
cat57_B,0.0035474619897946104,31
cat53_B,0.0033367315019161388,32
cat83_B,0.003213517362101324,33
cat103_B,0.00316707100883723,34
cat5_B,0.002959368568638639,35
cat114_C,0.0028312147331938857,36
cat72_A,0.0028139775081303152,37
cat100_J,0.0027221506491486697,38
cat100_G,0.002623016701869317,39
cat11_B,0.0026202089230609534,40
cat50_A,0.0026171336978435726,41
cat6_B,0.0025570023165088327,42
cat82_B,0.0025352177517355165,43
cat31_A,0.0025188664281643527,44
cat112_J,0.0024176273508198674,45
cat82_D,0.0023687128233023406,46
cat112_AH,0.002355135283714892,47
cat39_A,0.002341027135916398,48
cat91_A,0.0023292453248479365,49
cat91_B,0.002248980662341303,50
cat111_A,0.002235405415069839,51
cat5_A,0.002178140271728619,52
cat50_B,0.0020633624813163986,53
cat103_A,0.0020272269433945413,54
cat93_D,0.0020270404191782966,55
cat100_K,0.001987712125858271,56
cat100_A,0.0019551122023304464,57
cat10_B,0.0019446465672802906,58
cat84_C,0.0019384197281642293,59
cat81_B,0.0019160690756954777,60
cat83_A,0.0019004744464161355,61
cat13_A,0.0018931065742504717,62
cat38_A,0.0018930194387988678,63
cat112_AV,0.001830008892214261,64
cat114_E,0.0018095477764512526,65
cat82_A,0.00177945279855608,66
cat93_C,0.0017676639905335077,67
cat83_D,0.0017620923162586233,68
cat112_U,0.0017030995446117626,69
cat100_H,0.001688269577265021,70
cat49_B,0.0016809483803256376,71
cat36_A,0.0016737823576762868,72
cat100_L,0.0016456181095231789,73
cat109_BI,0.0016338273399015943,74
cat110_CS,0.0016306715636013375,75
cat105_E,0.001620138057923104,76
cat112_AS,0.0016022563792740684,77
cat75_B,0.0015804350894298557,78
cat112_K,0.0015720229979055845,79
cat73_B,0.0015622774612891795,80
cat110_EG,0.001560753094003026,81
cat105_F,0.001556290594396362,82
cat84_A,0.0015453824387184362,83
cat73_A,0.0015415911127149664,84
cat111_E,0.0015370328408208565,85
cat27_B,0.0015160287625900566,86
cat92_H,0.0015091762716989924,87
cat79_B,0.0014955899203988468,88
cat52_A,0.001494559463253505,89
cat87_B,0.0014655827142590551,90
cat103_C,0.001461043056383719,91
cat112_E,0.0014525380344644159,92
cat75_A,0.001422222438294052,93
cat110_BT,0.0013788244180613944,94
cat110_CL,0.00137661107003609,95
cat1_A,0.0013496193712477496,96
cat106_G,0.0013453054568696285,97
cat23_A,0.0013363023322458026,98
cat101_D,0.0013296148186634712,99
cat94_D,0.001323990373210319,100
cat36_B,0.001296167877481638,101
cat100_O,0.0012893172751131834,102
cat108_B,0.0012696682825712293,103
cat112_AN,0.0012688828188289125,104
cat25_B,0.0012650971119890146,105
cat110_EB,0.0012642566590447438,106
cat115_O,0.0012571659714782743,107
cat107_G,0.0012537404257022833,108
cat105_G,0.0012473300851512472,109
cat37_A,0.0012442006514677695,110
cat110_CO,0.0012336345201705884,111
cat91_C,0.0012038698544110098,112
cat2_B,0.001196906742175845,113
cat76_C,0.0011907844379055485,114
cat106_H,0.0011878849665534798,115
cat4_B,0.0011603943709366869,116
cat92_A,0.0011490332544683345,117
cat97_C,0.0011450808221925826,118
cat91_G,0.0011439307876261534,119
cat95_C,0.0011363936182665528,120
cat10_A,0.0011340027351776274,121
cat106_F,0.001131443840649532,122
cat104_G,0.001129865489538967,123
cat94_B,0.0011297821347005525,124
cat100_B,0.0011288919019910595,125
cat104_E,0.0011068289000884621,126
cat101_C,0.00110532844331375,127
cat49_A,0.0011042998132393094,128
cat100_N,0.0010964441363595237,129
cat23_B,0.0010895313145643615,130
cat112_AP,0.0010829651602534253,131
cat115_K,0.0010575648593128017,132
cat115_N,0.0010495096442842543,133
cat107_F,0.0010491838614880334,134
cat107_K,0.001027046943629464,135
cat27_A,0.001018499128429353,136
cat112_AI,0.0010169866585641714,137
cat106_I,0.0010159765531040637,138
cat101_G,0.001014147126527576,139
cat112_N,0.0010030387859121185,140
cat116_DJ,0.0009996306666202623,141
cat115_J,0.0009866971274383647,142
cat26_B,0.0009605908782343654,143
cat97_A,0.0009454259269549878,144
cat114_J,0.0009450015314573208,145
cat13_B,0.0009448690648286244,146
cat107_I,0.0009435512931384597,147
cat113_BM,0.0009418284872725242,148
cat107_J,0.0009396490549702257,149
cat101_F,0.000936910216769305,150
cat79_A,0.0009333613453797899,151
cat112_AF,0.0009237133685233746,152
