var,feature_importance,rank
cat110_BT,0.0013471861263154373,99
cat112_AN,0.0013215287434559958,100
cat106_H,0.0013118126098333029,101
cat101_D,0.001294095776768495,102
cat100_O,0.001292212346463453,103
cat111_A,0.0012650113655683993,104
cat108_B,0.0012609389263574453,105
cat110_EB,0.0012572009895160559,106
cat115_O,0.001245025699776382,107
cat107_G,0.0012372392637758798,108
cat38_B,0.0012315679445406862,109
cat52_A,0.0012134866836893332,110
cat110_CO,0.0012096871658435304,111
cat105_G,0.0012095747304133918,112
cat76_C,0.0011907844379055506,113
cat92_A,0.0011864897075210782,114
cat57_A,0.0011751323238991817,115
cat112_N,0.0011611667938951366,116
cat94_B,0.001155666229732981,117
cat25_A,0.0011488884125446406,118
cat49_A,0.001146528372115197,119
cat101_C,0.0011435349076715142,120
cat91_C,0.0011391436582330087,121
cat95_C,0.0011352071705142493,122
cat106_F,0.0011348707257106984,123
cat112_AP,0.0010955188104071934,124
cat100_N,0.0010901030182655235,125
cat100_B,0.001078841095918872,126
cat97_C,0.001078743242941404,127
cat115_N,0.0010716783028337914,128
cat112_AI,0.0010672533603894702,129
cat91_G,0.001056787476442551,130
cat115_K,0.001042228045211697,131
cat107_K,0.001036657831372295,132
cat116_DJ,0.0010363549185481327,133
cat37_A,0.0010352976882311241,134
cat106_I,0.0010218841245297724,135
cat107_F,0.0010165175368423188,136
cat104_G,0.0009987867551956402,137
cat114_J,0.0009758233739318864,138
cat104_E,0.0009708167804730792,139
cat107_J,0.000968651398750303,140
cat101_G,0.0009548272016354476,141
cat113_BM,0.0009467755632772546,142
cat115_J,0.0009444605870050546,143
cat87_C,0.0009400558205268638,144
cat107_H,0.0009361685462120894,145
cat116_HK,0.0009310553969463239,146
cat79_A,0.000930128404281256,147
cat26_B,0.0009270834166564513,148
cat9_A,0.000925679701769135,149
cat101_F,0.0009220045787522457,150
cat37_B,0.0009109543133702,151
cat1_A,0.0008986639549865176,152
cat109_AB,0.0008931094050334713,153
cat97_A,0.000888528044684381,154
cat87_D,0.0008872744550886567,155
cat27_A,0.0008806508968359713,156
cat9_B,0.0008794755037124308,157
cat23_B,0.0008789513176669611,158
cat103_D,0.0008694904539610127,159
cat112_AK,0.0008664637908030709,160
cat107_I,0.0008651257891390538,161
cat113_AE,0.0008580356131967121,162
cat114_A,0.0008462657932848818,163
cat112_S,0.0008369102956700626,164
cat25_B,0.0008344181437767287,165
cat112_AF,0.000831943214537561,166
cat10_B,0.0008281515778481796,167
cat96_E,0.0008195131485139873,168
cat113_AX,0.0008099540776861989,169
cat115_P,0.000798277692160754,170
cat52_B,0.0007944064076190337,171
cat83_C,0.0007817080192625883,172
cat104_F,0.0007635663550511489,173
cat110_EL,0.000756854759600115,174
cat50_A,0.0007455767106432171,175
cat107_L,0.000743611922710293,176
cat115_M,0.0007420921988289097,177
cat105_H,0.0007405443120490768,178
