iteration,r2,mae
1,0.5443989756109489,1157.0927196810844
2,0.5497881580088871,1159.708221032829
3,0.548693302996003,1150.516312915371
4,0.546436584700314,1167.7581870438696
5,0.5384922386171656,1154.9291107151805
6,0.5502963159311713,1152.207494436311
7,0.5472011104446484,1151.8803022858676
8,0.5483166420824694,1140.6535369001338
9,0.5409880782037033,1156.9037251604545
10,0.5361977480221087,1168.7851387454075
11,0.5582398401285109,1157.3090661333808
12,0.5499088505663412,1159.3932776581562
13,0.5490629322600118,1165.9369389038607
14,0.5396941683109384,1163.8508165019252
15,0.5497172556050481,1176.4955581743861
16,0.5420997908830116,1157.0602141830977
17,0.5467330633267236,1157.9868988429146
18,0.5443482278570784,1171.788899648091
19,0.5405698996152447,1166.1172465994034
20,0.5483042631589745,1158.4748511147188
21,0.5464800051606109,1157.276294599794
22,0.5349314287863423,1173.2128810204415
23,0.5497244300234853,1148.3291431545106
24,0.5457980068740103,1155.9861053846384
25,0.5425596088857474,1165.967279359258
26,0.545144707002174,1151.9783113178262
27,0.5542174736964349,1152.3006569387069
28,0.5478884716088424,1145.668115844156
29,0.5499864666591623,1159.097608597826
30,0.5416004852755378,1150.9802116827825
31,0.546661690227618,1153.1541491702849
32,0.5458168281011953,1162.3452540309133
33,0.5462155051073604,1166.690473557776
34,0.5492154348570873,1169.2716301923442
35,0.5416174451594902,1152.6578876233875
36,0.5446364740507297,1160.9158774813357
37,0.5441715133904739,1164.2975928208343
38,0.5446205690437669,1157.6328425855613
39,0.5447157929825243,1172.915917170263
40,0.5491843758177484,1161.2485582567342
41,0.5488628938630334,1173.1077524226343
42,0.5533688598327104,1148.6142248294025
43,0.5492696167358924,1150.8481499425327
44,0.5391935033691135,1158.819554919195
45,0.549107426568927,1162.3416324677057
46,0.5376599021768989,1163.3705409233723
47,0.5430859790513015,1162.0365780351326
48,0.549317343130161,1159.475673939824
49,0.543872815088104,1156.8373978617888
50,0.5400608085810782,1166.0965805836745
51,0.5415792277488329,1149.7727729649832
52,0.5516270585474895,1143.1347209023058
53,0.5480841446457381,1165.4497539713818
54,0.5500096211604942,1165.9223086462287
55,0.5443337452059808,1160.7485697380332
56,0.5483831269658788,1155.905904340953
57,0.5414237967555008,1149.7236138397452
58,0.5461134716463465,1168.623599130013
59,0.540516928349466,1166.94173565902
60,0.5535632661460079,1154.3054314682017
61,0.5478411568265097,1159.4807955271965
62,0.5427768513384199,1166.9552527040078
63,0.5427754219400924,1158.7298684184707
64,0.5492731104159995,1154.8421056450104
65,0.5502846487416158,1158.95108712543
66,0.5534216995755954,1175.7034319238655
67,0.5542150422013188,1157.2100232462528
68,0.5495967412547285,1162.1512271227061
69,0.550677901391018,1161.0826182779913
70,0.5505879940154731,1154.6012609291304
71,0.5451309354503513,1153.5064239697972
72,0.54295380447993,1154.2203054137508
73,0.5484405554097929,1160.9254459615365
74,0.5478735802209851,1159.077840373309
75,0.5395871737659074,1152.9345453967774
76,0.5532284147263649,1162.1944934572075
77,0.5438925908654244,1153.093779808751
78,0.5555374629175183,1153.2938485160314
79,0.5484721570922991,1144.5528358376243
80,0.5419657708117154,1164.0560338026905
81,0.5426666893909524,1152.7764224312132
82,0.5513789805755034,1161.738901288158
83,0.5494221285773708,1154.9409100269718
84,0.5396641239583257,1158.3192452212638
85,0.5456357319436259,1162.7779083273217
86,0.5474084167462367,1152.1859759361766
87,0.5553249143782808,1151.2476580382731
88,0.5473344311341262,1154.5955515816038
89,0.5482996990112428,1143.6740487596744
90,0.5514181922454415,1159.3221319195304
91,0.5440865559127355,1170.0335964878702
92,0.5485334316119015,1151.2837745357697
93,0.5490387691388467,1156.8635499741029
94,0.5487345094726899,1163.5157338972977
95,0.5494288792820171,1146.5306610897715
96,0.5542420253786216,1149.6022896414268
97,0.545010971262427,1161.7541015149993
98,0.5475859403967007,1156.4187715380467
99,0.5494242456309357,1162.6999494315692
100,0.5426133113180106,1158.0938769718973
101,0.5485133141610345,1163.9134908305696
102,0.5567549042547811,1142.6671519263048
103,0.5478801920350187,1153.5500596137163
104,0.5446327525219118,1161.5662340542672
105,0.5374491955375905,1162.8826326433439
106,0.5498722653754249,1154.7688927343686
107,0.5552062578377068,1160.2633161893862
108,0.5494412450824402,1161.786286930781
109,0.5427106947524808,1165.549180982669
110,0.5459625741735344,1156.9491275852045
111,0.543843158936085,1154.681367923863
112,0.5474410495164104,1158.7222498641877
113,0.5475086664709221,1155.926512163005
114,0.5448951991199069,1152.4116903863355
115,0.5506570205002668,1148.4496206046392
116,0.5427517340528367,1159.7596894639112
117,0.5450227002642408,1152.4305025870713
118,0.5518795173125557,1151.8653386507901
119,0.5452639126860802,1174.7287985715907
120,0.5485307344060442,1161.0449594831314
121,0.5441296503101112,1158.7197397361892
122,0.5489245385657089,1166.3554603990215
123,0.5442745298459901,1159.6955349145985
124,0.5472676186314466,1167.229791620013
125,0.5499388947321491,1148.5806137385212
126,0.5472173153660993,1163.8715297442418
127,0.5487114487927586,1157.3346715857442
128,0.549904800920332,1159.242124604542
129,0.5460896157268749,1163.5329115549246
130,0.5448897490533735,1162.6168476570797
131,0.5491955181535862,1170.9046884628206
132,0.5466212568104283,1169.812647186668
133,0.5469416953811412,1146.01433575455
134,0.5419132533300621,1149.7048352877894
135,0.5459819129348824,1155.554538143187
136,0.5478952515645903,1151.7446894781717
137,0.5434499488570332,1160.2616089881503
138,0.5492338193883108,1157.6691635423272
139,0.5429309330135439,1160.1436914473722
140,0.5474109643420602,1163.328460381909
141,0.5489100213135145,1151.9919631191567
142,0.5461835107816047,1174.1799125927819
143,0.5497472995426116,1141.4671434179418
144,0.5484916004682568,1166.8373088668266
145,0.5470280908981975,1156.357330913534
146,0.5540018223904782,1161.0854751238437
147,0.5520385096964766,1147.6598670305302
148,0.5476599698483258,1168.9597813746113
149,0.5453161342599758,1158.9943084983856
150,0.555831871358194,1158.179186368594
151,0.5538322758543281,1167.3972988397927
152,0.543265903913978,1158.0298084251124
153,0.5521560281510103,1155.7248085884087
154,0.5465864645783274,1161.8118129520856
155,0.5527689268656095,1168.6341962908775
156,0.5519390648127327,1153.9603745376469
157,0.5468733302976593,1158.9571596257574
158,0.5519786424719753,1153.5490254768106
159,0.5478565978525095,1154.507657685545
160,0.5441783982224739,1146.9282380766758
161,0.5514730262174876,1144.1452318789886
162,0.5511095708022943,1160.3874220099306
163,0.5462055710907969,1162.4737415197433
164,0.5475780832817589,1166.232852388108
165,0.5496887885517348,1169.2328201315727
166,0.5438154017185162,1162.0815710573675
167,0.5482033902151995,1154.2260078218862
168,0.5431450109160945,1170.7361194812188
169,0.5429415066736742,1163.7648033847079
170,0.5463810443273801,1162.7622742192375
171,0.5490713449403022,1149.0613914666317
172,0.5483511323341124,1166.4820619712707
173,0.555536059323557,1150.3178836595766
174,0.5481471946169443,1152.855719380368
175,0.5483388330684309,1154.1411130349832
176,0.5469845327834467,1160.7217021733804
177,0.5555572021468359,1153.9504478926226
178,0.5515809833973645,1148.3993823254632
179,0.5449487269474091,1155.8917899813982
180,0.5536280139895108,1168.128724235334
181,0.5521223696253786,1153.3906931259687
182,0.5509489652759793,1166.0878742597997
183,0.546374054866112,1162.8932897026173
184,0.5398791829570739,1154.9744057184705
185,0.5479874026014754,1149.233645367074
186,0.5453181715728197,1155.8688845968838
187,0.5460482474450694,1152.484968343756
188,0.552925096927817,1155.1792959198542
189,0.5496855495021571,1161.2402054243196
190,0.5404240868307472,1172.6038533986366
191,0.5438719929821936,1165.052105508576
192,0.5458193467130139,1162.737776844216
193,0.5430192102888822,1166.181071809339
194,0.5435237727023577,1165.0031018551265
195,0.5461056195841301,1161.3308386675917
196,0.5445754578788594,1163.3331865074138
197,0.5548183743033362,1152.3717091013632
198,0.5429380916104493,1154.659056751494
199,0.5545425806740356,1159.6927830305463
200,0.5496558007739594,1159.3817092903805
201,0.5489881369656194,1152.1389411773034
202,0.5492734006436693,1152.8739573802447
203,0.5447585150636002,1151.984359784511
204,0.5474799872038223,1172.3349291272418
205,0.5442162984379285,1147.363460044219
206,0.542156516262252,1165.3606454077294
207,0.5483621326975623,1159.9350662360048
208,0.5442676795359507,1166.611799323666
209,0.551598873628422,1157.9481067409984
210,0.5458311350603873,1154.826448224608
211,0.5472090696453862,1172.672856915081
212,0.543391503105711,1152.1530080606854
213,0.5462480012057299,1165.0254512914044
214,0.5473199731185081,1167.4028750684508
215,0.5469285405243851,1150.7646943399304
216,0.5445844283182089,1169.9265865940558
